label,org_id,T,train_size,test_size,time_sec,error,max_rhat,min_ess,converged,loo,loo_se,waic,waic_se,test_rmse,test_mae,coverage_90,coverage_50
lognormal,72a86a208d24d68b80be0e44a8a4872d,1751,1400,351,2.001646041870117,,1.15,11.0,False,-5107.6804785728455,26.40939518108337,-5107.5778013245435,26.40983372752466,11.457149505615234,8.934444427490234,0.8347578347578347,0.45014245014245013
lognormal,882ce7e286d66facc66518783e2192c7,1711,1368,343,1.7421183586120605,,2.5,3.0,False,-621903691.5168452,114758099.65837453,-3363026284670143.5,1800182835168121.0,242.74266052246094,184.60955810546875,0.956268221574344,0.4752186588921283
lognormal,84ede2686ee278b4e36b0b726f159b48,623,498,125,1.8748438358306885,,2.37,3.0,False,-1617.5633482933044,23.905637922817597,-1616.6877434772905,23.587474243072062,6.618933200836182,5.790982246398926,0.88,0.376
